Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
3,Killiney 2-in-1 White Coffee Trio Bundle,Per Serving (1.3g),,1.3g,,,,,,,18.9g,6.4g,1.7g,25mg,138kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 25g,Gold Choice Instant White Coffee - Cappuccino,Per Serving (),,1g,4g,,24mg,,,,,4g,13.0g,19mg,,,,0g,0mg,,1.0g,,,,19g,,,,,,,,,,,,,,0.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 30g,Yes Natural Instant Coffee - Brown Rice,Per Serving (100g),,4g,4.5g,20mg,,,,,,4.5g,4g,20mg,140kcal,,,0g,,,1g,,,,,,,,,,,,,,,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100g,Boncafe Instant Coffee Powder - Decafeinated,Per Serving (2g),6kcal,0.3g,0g,1.1g,,,,,,0g,0.2g,7mg,,,,0g,0mg,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 G,Killiney Kopi Latte (Dolce Gusto Compatible Capsule Pods),Per Serving (12),54kcal,0.3g,,,,,,,9.1g,1.9g,,10mg,,,,,,,0.2g,,,,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 G,Kim Guan Guan Singapore Original Traditional Coffee Powder,Per Serving (250),8kcl,0.6g,,,,,,,,,,5.0mg,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 G,Cafe specialists Traditional Kopi Shop Ground Coffee Powder,Per Serving (2.5g),50kcal,2.5g,,12.5g,,,,,,,,25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 G,AGF Blendy Potion Coffee 6P,Per Serving (),,0.3g,,,,,,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,0.05g,5mg,9kcal,62mg,322mg,61mg,,,,,,,,,,,,,,,,,,,,,,,,,
250 G,illy Ground Espresso Decaf Classico Coffee - Medium Roast,Per Serving (100g),313kcal,14g,,10g,,,,,,,,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,11g,,,,,,,,,,,,,,100g,3.2g,,,,,,,,,,,,,,,,,,,,,,,
414 G,Frenche Roast Indulgence Tiramisu Latte,Per Serving (),96kcal,1.1g,2.0g,,,,,,,,,,,,,,,,,,,,18.3g,15.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
