Drink Volume,Drink Name,Attributes,Energy,Protein,Carbohydrate,Fat,Cholesterol,Sugars,Dietary Fibre,Sodium,Catechin,Potassium,Vitamin B3,Vitamin B6,Vitamin B12,Calories,Saturated Fat,Carbohydrates,Total Fat,Total Sugar,Tea Polyphenols,Trans Fat,Antioxidant,Added Sugars,Calcium,Vitamin C,Total Sugars,Theanine,Tea Polyphenois,Iron,Water,Ash,Magnesium,Phosphorus,Copper,Manganese,Riboflavin,Niacin,Folate,Asorbic Acid,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Per Serving Size,Fats,Vitamin A,Sugar,Catechin (mg),Vitamin B1,Vitamin B2,Salt equivalent,Caffeine,Total Carbohydrate,Total fat,Dietry fibre,Calories From Fat,Salt,Total Energy,Total Fats,Saturated fat,Amount per,Saturated fats,Total Carboyhdrate,Dietary fiber,Carbohyrate
15 x 35g,Gold Kili Premium Instant White Milk Tea - Double Shot,Per Serving (35g),160kcal,< 2g,25g,,0mg,15g,< 0g,60mg,,,,,,,6g,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 18g,Gingen Instant Ginger Powder - Strong,Per Serving (18g),,0g,18g,,0mg,17g,0g,0mg,,,,,,70cal,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Super Instant Tea Infusions - Red Date & Longan,Per Serving (18g),71kcal,0.1g,17.6g,,,,0g,1mg,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480ml,Life Bottle Drink - Herbal Tea,Per Serving (240ml),48kcal,0g,12.2g,,0mg,9.8g,0g,7mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 G,Mamami Matcha Powder From Japan,Per Serving (1g),,1g,,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,0g,,,,,,,,,,,,,,,,,,,,
480ml,Life Bottle Drink - Red Date Tea,Per Serving (240ml),77kcal,0.2g,18.7g,,0mg,,0g,12mg,,,,,,,0g,,0g,16.6g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Gold Kili Instant Ginger Drink - Brown Sugar ,Per Serving (18g),70kcal,0.2g,17.4g,,,17.4g,0g,0.3mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 2g,FairPrice Japanese Green Tea -Yabukita Blend with Roasted Rice,Per Serving (2g),0kcal,0g,,,0mg,,0g,0mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Marigold Packet Drink - Chrysanthemum Tea (Less Sweet),Per Serving (250ml),87kcal,0g,21.8g,,,20.3g,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Gold Kili Instant Ginger Drink - Lemon ,Per Serving (18g),73kcal,0.1g,7.4mg,,,16.1g,17.4g,0mg,,1.4mg,,,,,0.2g,,0.3g,,,0g,,,0.1%,0%,,,,0.2%,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,
4 X 250ML,Lo Bros Organic Raspberry & Lemon Kombucha,Per Serving (1g),,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 300ml,Fuze Tea Flavoured Green Tea Can Drink - Jasmine,Per Serving (100ML),22kJ,0g,5.5g,,0mg,,0g,5mg,,0g,0g,0g,0g,,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5g,15mg,,,,,,,,,,,,,,,,,
4 X 250ML,Lo Bros Organic Passionfruit Kombucha,Per Serving (1g),,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40g (20 per pack),Sea Dyke Tea Bags - Oolong Tea ,Per Serving (2g),,0.542g,0.808g,,,,,0.16mg,,,,,,5.58kcal,,,0.024g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250g,Daribell Pure and Natural Instant Ginger Tea Powder,Per Serving (15g),61kcal,0g,15g,,,10g,,6mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 18g,Gingen Instant Ginger Powder -  Brown Sugar,Per Serving (18g),,0g,18g,,0mg,17g,0g,0mg,,,,,,70kcal,0g,,0g,,,,,,0%,0%,,,,< 2%,,,,,,,,,,,,,,,,0%,,,0%,0%,,,,,,,,,,,,,,,
140 G,Nitto Royal Milk Tea 10P,Per Serving (),59kcal,0.9g,11.6g,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,0.02g,,,,,,,,,,,,,
480 G,Ah Huat Teh C,Per Serving (),134kcal,1.6g,,,0mg,,0.7g,74.2mg,,,,,,,,,3.4g,,,,,,,,15.6g,,,,,,,,,,,,,,,,,,,,,,,,,,24.3g,,,,,,,,,,,,
20 x 2g,TLY Tea Bags - BitterGrourd,Per Serving (100g),335Kcal,18.8g,63.2g,,0mg,,,37mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8g,43.8g,,,,,,,,,,
50 x 2g,Ta-Fu Tea Bags - Genmai Cha (Non Staple),Per Serving (100g),,< 1g,20g,,0mg,15g,1g,25mg,,190mg,,,,110kcal,3.5g,,3.5g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kcal,,,,,,,,,
2 X 500ML,Hung Fook Tong Ice Lemon Tea Herbal Drink [Bundle of 2],Per Serving (100ml),,0g,,,,6.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,
400 ML,The GUTsy Captain Ginger & Lemon Kombucha ZERO,Per Serving (100),0kj,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,,,,,,,,
400 ML,The GUTsy Captain Passionfruit Kombucha,Per Serving (100),74kj,0g,4.4g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,
15 x 25g,MaxTea Instant Drink - Tarikk with Ginger,Per Serving (25g),105kcal,0.9g,20.7g,,0mg,13.5g,1g,15mg,,,,,,,2.1g,,2.4g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750 ML,ROK Kombucha Passionfruit Rap (L),Per Serving (100ml),,,3g,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kg,Jewon Gold Korean Citron Tea - Natural Yuja,Per Serving (25g),,0g,16g,,0mg,14g,0g,21mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,BEST Choice Ginseng Longan Red Dates & Goji Triangle Tea Bag,Per Serving (),5kj,0g,,,,,,0mg,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,
6 X 250ML,Hi-C Low Sugar Ceylon Lemon Tea [Bundle of 6],Per Serving (),,0g,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,
,Sosro Tehbotol - Original 450ML [ Carton ],Per Serving (),,,,,,16.4g,,27mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4g,,,,,70kcal,,,,,,,
